product_category_name_english,sales_2017,sales_2018,sales_change_pct,avg_review_score
security_and_services,283.28999999999996,0.0,-100.0,2.5
tablets_printing_image,6260.45,1267.96,-79.7465038455702,3.689655172413793
home_comfort_2,609.1800000000001,151.09,-75.19780688794772,3.5
fashion_male_clothing,8125.56,2301.87,-71.67124481266522,3.3043478260869565
fashio_female_clothing,1963.38,616.66,-68.59191801892656,3.5
dvds_blu_ray,3409.8799999999997,1132.71,-66.78152896876136,3.789473684210526
fashion_underwear_beach,6896.85,2409.1,-65.06956074149792,3.814814814814815
market_place,19314.91,7565.57,-60.83041546660068,3.4324324324324325
home_confort,37360.7,20737.65,-44.4934115260153,3.48559670781893
toys,299056.71,168024.18,-43.81527837980964,3.802020202020202
cool_stuff,381549.2,227743.7,-40.310790849515605,3.8962386511024643
la_cuisine,1273.99,781.0,-38.696536079561064,3.0
furniture_mattress_and_upholstery,2548.28,1775.1,-30.341249784168156,3.5
consoles_games,83421.93,61497.08,-26.281878158417086,3.7088607594936707
garden_tools,256989.1,212401.8,-17.349879819805594,3.7295247724974723
perfumery,211100.44,174593.87,-17.293459928363962,3.8328125
fashion_bags_accessories,79450.65,69781.32,-12.170233975430016,3.925480769230769
small_appliances,96858.08,86111.94,-11.094727461044034,3.8920863309352516
